,ticker,timestamp,headline,summary
0,ONTO,2022-02-09T16:54:34Z,"B. Riley Securities Maintains Buy on Onto Innovation, Raises Price Target to $125",
1,ONTO,2022-02-08T22:58:02Z,Onto Innovation: Q4 Earnings Insights,"Onto Innovation (NYSE:ONTO) reported its Q4 earnings results on Tuesday, February 8, 2022 at 04:05 PM.

Here&#39;s what investors need to know about the announcement."
2,ONTO,2022-02-08T21:15:11Z,Onto Innovation Sees Q1 2022 Revenue $226M-$240M Vs $216.54M; Sees Adj. EPS $1.13-$1.20 Vs $1.10 Est,
3,ONTO,2022-02-08T21:12:25Z,"Onto Innovation Q4 EPS $1.23 Beats $1.11 Estimate, Sales $225.64M Beat $215.20M Estimate",
4,ONTO,2022-02-08T09:00:30Z,"Earnings Scheduled For February 8, 2022"," 

Companies Reporting Before The Bell

• Pfizer (NYSE:PFE) is likely to report quarterly earnings at $0.87 per share on revenue of $24.20 billion."
5,ONTO,2022-01-18T15:04:35Z,"Needham Maintains Buy on Onto Innovation, Raises Price Target to $115",
6,ONTO,2022-01-14T17:33:29Z,12 Information Technology Stocks Moving In Friday's Intraday Session, 
7,ONTO,2022-01-11T14:09:07Z,Onto Innovation Announces total Order Backlog Of $500M,
8,ONTO,2021-12-07T21:29:51Z,"Onto Innovation Reports $85M In Orders From 3D NAND Manufacturer For Its Integrated OCD, Thin Film Metrology Suite With Deliveries Beginning In 2022, Into H1'23",
9,ONTO,2021-11-05T14:48:16Z,"Needham Maintains Buy on Onto Innovation, Raises Price Target to $100",
10,ONTO,2021-11-04T21:48:17Z,"Onto Innovation Sees Q4 Adj. EPS $1.02-$1.16 vs $0.99 Estimate, Sales $210M-$220M vs $204.5M Est.",
11,ONTO,2021-11-04T21:47:16Z,"Onto Innovation Q3 Adj. EPS $0.98 Beats $0.92 Estimate, Sales $200.60M Beat $195.34M Estimate",
12,ONTO,2021-11-04T09:00:46Z,"Earnings Scheduled For November 4, 2021"," 

Companies Reporting Before The Bell

• DISH Network (NASDAQ:DISH) is likely to report quarterly earnings at $0.91 per share on revenue of $4.45 billion."
13,ONTO,2021-08-09T15:25:42Z,Stocks That Hit 52-Week Highs On Monday," 

 

This morning 113 companies reached new 52-week highs."
14,ONTO,2021-08-06T14:03:21Z,Stocks That Hit 52-Week Highs On Friday," 

 

Before 10 a.m. ET on Friday, 175 companies set new 52-week highs."
15,ONTO,2021-08-06T10:52:46Z,"Needham Maintains Buy on Onto Innovation, Raises Price Target to $81",
